0
{'IdSession': 813062, 'IdPSX': 0, 'IdSubscriber': 86848, 'StartSession': '31/07/2024 16:53:34', 'EndSession': '', 'Duration': 30897, 'UpTx': 8693413275, 'DownTx': 9546692937}
{'IdSession': 888356, 'IdPSX': 1, 'IdSubscriber': 40072, 'StartSession': '02-03-2025 02:27:12', 'EndSession': '02-03-2025 04:44:02', 'Duration': 8210, 'UpTx': 103522309, 'DownTx': 17541516}
{'IdSession': 119847, 'IdPSX': 1, 'IdSubscriber': 40072, 'StartSession': '24-09-2024 08:45:14', 'EndSession': '24-09-2024 11:11:18', 'Duration': 8764, 'UpTx': 303071091, 'DownTx': 403035788}
{'IdSession': 83885, 'IdPSX': 1, 'IdSubscriber': 66076, 'StartSession': '12-08-2024 01:36:21', 'EndSession': '12-08-2024 12:12:41', 'Duration': 38180, 'UpTx': 71905530, 'DownTx': 123650240}
{'IdSession': 235702, 'IdPSX': 0, 'IdSubscriber': 66076, 'StartSession': '29/10/2024 07:16:17', 'EndSession': '29/10/2024 23:03:10', 'Duration': 56813, 'UpTx': 6676245645, 'DownTx': 6904501826}
{'IdSession': 386271, 'IdPSX': 3, 'IdSubscriber': 66076, 'StartSession': '08/08/2024 20:44:15', 'EndSession': '08/08/2024 23:20:03', 'Duration': 9348, 'UpTx': 308919942, 'DownTx': 361769575}
{'IdSession': 140708, 'IdPSX': 2, 'IdSubscriber': 66076, 'StartSession': '2024-08-27 10:25:26', 'EndSession': '2024-08-27 15:39:17', 'Duration': 18831, 'UpTx': 3287617321, 'DownTx': 9386471392}
{'IdSession': 568198, 'IdPSX': 3, 'IdSubscriber': 66076, 'StartSession': '07/03/2024 08:27:12', 'EndSession': '', 'Duration': 60298, 'UpTx': 656443575, 'DownTx': 968392902}
{'IdSession': 968923, 'IdPSX': 3, 'IdSubscriber': 86782, 'StartSession': '01/27/2025 10:54:36', 'EndSession': '', 'Duration': 10612, 'UpTx': 458272958, 'DownTx': 620961941}
{'IdSession': 125337, 'IdPSX': 2, 'IdSubscriber': 86782, 'StartSession': '2024-10-18 14:40:26', 'EndSession': '2024-10-19 13:28:31', 'Duration': 82085, 'UpTx': 5794517760, 'DownTx': 5574251335}
{'IdSession': 747043, 'IdPSX': 2, 'IdSubscriber': 86782, 'StartSession': '2024-12-02 12:54:24', 'EndSession': '2024-12-03 12:51:26', 'Duration': 86222, 'UpTx': 157563632, 'DownTx': 7461002827}
{'IdSession': 346942, 'IdPSX': 0, 'IdSubscriber': 86782, 'StartSession': '20/01/2025 22:55:35', 'EndSession': '21/01/2025 11:25:31', 'Duration': 44996, 'UpTx': 1428097237, 'DownTx': 7892543888}
{'IdSession': 650477, 'IdPSX': 3, 'IdSubscriber': 86782, 'StartSession': '11/26/2024 20:25:51', 'EndSession': '11/27/2024 15:52:50', 'Duration': 70019, 'UpTx': 828065367, 'DownTx': 427234423}
{'IdSession': 349605, 'IdPSX': 2, 'IdSubscriber': 31141, 'StartSession': '2024-09-25 07:03:18', 'EndSession': '2024-09-25 17:41:27', 'Duration': 38289, 'UpTx': 516849483, 'DownTx': 8240906400}
{'IdSession': 392572, 'IdPSX': 3, 'IdSubscriber': 31141, 'StartSession': '09/25/2024 02:19:06', 'EndSession': '09/25/2024 07:15:05', 'Duration': 17759, 'UpTx': 186694145, 'DownTx': 34629699}
{'IdSession': 978012, 'IdPSX': 2, 'IdSubscriber': 31141, 'StartSession': '2025-03-28 06:01:49', 'EndSession': '2025-03-28 08:23:41', 'Duration': 8512, 'UpTx': 5735892941, 'DownTx': 6383277806}
{'IdSession': 744299, 'IdPSX': 1, 'IdSubscriber': 31141, 'StartSession': '26-02-2025 09:13:01', 'EndSession': '26-02-2025 22:43:44', 'Duration': 48643, 'UpTx': 957118047, 'DownTx': 979405730}
{'IdSession': 590679, 'IdPSX': 1, 'IdSubscriber': 31141, 'StartSession': '17-10-2024 16:23:11', 'EndSession': '17-10-2024 20:02:02', 'Duration': 13131, 'UpTx': 522792419, 'DownTx': 520523354}
{'IdSession': 770957, 'IdPSX': 0, 'IdSubscriber': 2567, 'StartSession': '27/09/2024 18:32:30', 'EndSession': '', 'Duration': 77096, 'UpTx': 3067014027, 'DownTx': 7174960183}
{'IdSession': 520833, 'IdPSX': 2, 'IdSubscriber': 2567, 'StartSession': '2025-03-17 08:34:53', 'EndSession': '2025-03-18 01:41:15', 'Duration': 61582, 'UpTx': 5856412218, 'DownTx': 6542113322}
{'IdSession': 448849, 'IdPSX': 2, 'IdSubscriber': 2567, 'StartSession': '2024-09-07 03:44:09', 'EndSession': '2024-09-07 14:26:58', 'Duration': 38569, 'UpTx': 7753896619, 'DownTx': 641614286}
{'IdSession': 976346, 'IdPSX': 1, 'IdSubscriber': 2567, 'StartSession': '26-04-2024 07:37:53', 'EndSession': '', 'Duration': 68440, 'UpTx': 301918916, 'DownTx': 791124432}
{'IdSession': 661737, 'IdPSX': 1, 'IdSubscriber': 2567, 'StartSession': '09-08-2024 22:39:42', 'EndSession': '', 'Duration': 30174, 'UpTx': 52727316, 'DownTx': 346281752}
{'IdSession': 154438, 'IdPSX': 0, 'IdSubscriber': 2567, 'StartSession': '26/05/2024 11:44:54', 'EndSession': '27/05/2024 06:02:14', 'Duration': 65840, 'UpTx': 6280580636, 'DownTx': 1099994065}
{'IdSession': 17790, 'IdPSX': 1, 'IdSubscriber': 2567, 'StartSession': '25-02-2025 15:03:15', 'EndSession': '26-02-2025 07:49:29', 'Duration': 60374, 'UpTx': 341269879, 'DownTx': 205625309}
{'IdSession': 6597, 'IdPSX': 0, 'IdSubscriber': 2567, 'StartSession': '28/03/2025 23:43:23', 'EndSession': '29/03/2025 05:29:33', 'Duration': 20770, 'UpTx': 9734298246, 'DownTx': 9912321621}
{'IdSession': 608019, 'IdPSX': 1, 'IdSubscriber': 2567, 'StartSession': '12-01-2025 02:53:06', 'EndSession': '12-01-2025 18:45:17', 'Duration': 57131, 'UpTx': 428570745, 'DownTx': 176441970}
{'IdSession': 153011, 'IdPSX': 2, 'IdSubscriber': 2567, 'StartSession': '2024-12-25 07:05:02', 'EndSession': '2024-12-25 13:35:16', 'Duration': 23414, 'UpTx': 1364204833, 'DownTx': 2666042521}
{'IdSession': 711372, 'IdPSX': 2, 'IdSubscriber': 80309, 'StartSession': '2024-09-08 19:32:27', 'EndSession': '2024-09-09 08:34:27', 'Duration': 46920, 'UpTx': 8909285873, 'DownTx': 4967014609}
{'IdSession': 79973, 'IdPSX': 0, 'IdSubscriber': 80309, 'StartSession': '08/02/2025 05:56:01', 'EndSession': '09/02/2025 00:33:52', 'Duration': 67071, 'UpTx': 3304701517, 'DownTx': 2903383359}
{'IdSession': 58070, 'IdPSX': 0, 'IdSubscriber': 80309, 'StartSession': '30/09/2024 22:48:39', 'EndSession': '01/10/2024 15:43:14', 'Duration': 60875, 'UpTx': 3711381526, 'DownTx': 5209091811}
{'IdSession': 367688, 'IdPSX': 1, 'IdSubscriber': 80309, 'StartSession': '18-05-2024 17:15:21', 'EndSession': '19-05-2024 09:32:20', 'Duration': 58619, 'UpTx': 565580057, 'DownTx': 129313468}
{'IdSession': 375384, 'IdPSX': 3, 'IdSubscriber': 80309, 'StartSession': '09/30/2024 06:46:15', 'EndSession': '09/30/2024 20:48:49', 'Duration': 50554, 'UpTx': 612988700, 'DownTx': 520527472}
{'IdSession': 746637, 'IdPSX': 1, 'IdSubscriber': 83953, 'StartSession': '22-09-2024 09:20:08', 'EndSession': '', 'Duration': 72033, 'UpTx': 715823641, 'DownTx': 950747964}
{'IdSession': 422280, 'IdPSX': 1, 'IdSubscriber': 83953, 'StartSession': '20-06-2024 09:53:46', 'EndSession': '20-06-2024 14:50:34', 'Duration': 17808, 'UpTx': 560030478, 'DownTx': 629612663}
{'IdSession': 909993, 'IdPSX': 1, 'IdSubscriber': 83953, 'StartSession': '11-08-2024 13:28:01', 'EndSession': '12-08-2024 03:42:06', 'Duration': 51245, 'UpTx': 254563583, 'DownTx': 268828009}
{'IdSession': 662965, 'IdPSX': 2, 'IdSubscriber': 83953, 'StartSession': '2025-03-14 00:05:24', 'EndSession': '2025-03-14 19:54:41', 'Duration': 71357, 'UpTx': 1588402496, 'DownTx': 6705686418}
{'IdSession': 426517, 'IdPSX': 0, 'IdSubscriber': 83953, 'StartSession': '07/01/2025 01:24:09', 'EndSession': '', 'Duration': 40432, 'UpTx': 309996193, 'DownTx': 304802630}
{'IdSession': 110302, 'IdPSX': 1, 'IdSubscriber': 83953, 'StartSession': '10-01-2025 16:56:15', 'EndSession': '10-01-2025 23:19:10', 'Duration': 22975, 'UpTx': 92532209966, 'DownTx': 25763884587}
{'IdSession': 200466, 'IdPSX': 1, 'IdSubscriber': 83953, 'StartSession': '24-12-2024 07:55:51', 'EndSession': '25-12-2024 06:33:26', 'Duration': 81455, 'UpTx': 536483338, 'DownTx': 217925055}
{'IdSession': 928692, 'IdPSX': 0, 'IdSubscriber': 83953, 'StartSession': '22/03/2025 05:56:55', 'EndSession': '22/03/2025 13:36:38', 'Duration': 27583, 'UpTx': 1783872329, 'DownTx': 8504288550}
{'IdSession': 162916, 'IdPSX': 1, 'IdSubscriber': 83953, 'StartSession': '19-04-2024 23:54:15', 'EndSession': '20-04-2024 02:28:16', 'Duration': 9241, 'UpTx': 835467916, 'DownTx': 48591457}
{'IdSession': 961028, 'IdPSX': 2, 'IdSubscriber': 83953, 'StartSession': '2024-07-02 10:40:18', 'EndSession': '2024-07-03 08:39:35', 'Duration': 79157, 'UpTx': 9945768596, 'DownTx': 640633932}
{'IdSession': 839285, 'IdPSX': 0, 'IdSubscriber': 95499, 'StartSession': '23/03/2025 16:26:17', 'EndSession': '23/03/2025 21:45:43', 'Duration': 19166, 'UpTx': 628961815, 'DownTx': 1360425134}
{'IdSession': 995490, 'IdPSX': 2, 'IdSubscriber': 95499, 'StartSession': '2025-03-19 13:25:59', 'EndSession': '2025-03-19 21:06:38', 'Duration': 27639, 'UpTx': 7303449349, 'DownTx': 3590717183}
{'IdSession': 904450, 'IdPSX': 2, 'IdSubscriber': 95499, 'StartSession': '2024-07-21 11:39:17', 'EndSession': '2024-07-21 21:42:06', 'Duration': 36169, 'UpTx': 8498333749, 'DownTx': 5100761361}
{'IdSession': 624217, 'IdPSX': 2, 'IdSubscriber': 95499, 'StartSession': '2024-04-20 05:32:07', 'EndSession': '2024-04-20 22:43:05', 'Duration': 61858, 'UpTx': 1770224895, 'DownTx': 2586590056}
{'IdSession': 589482, 'IdPSX': 3, 'IdSubscriber': 95499, 'StartSession': '10/01/2024 00:44:06', 'EndSession': '10/01/2024 05:34:58', 'Duration': 17452, 'UpTx': 189130530, 'DownTx': 567178139}
{'IdSession': 139665, 'IdPSX': 1, 'IdSubscriber': 68306, 'StartSession': '06-12-2024 13:03:09', 'EndSession': '07-12-2024 08:52:17', 'Duration': 71348, 'UpTx': 986962822, 'DownTx': 468412393}
{'IdSession': 454421, 'IdPSX': 2, 'IdSubscriber': 68306, 'StartSession': '2024-05-21 12:07:27', 'EndSession': '2024-05-22 00:34:23', 'Duration': 44816, 'UpTx': 8634938767, 'DownTx': 1072494797}
{'IdSession': 943975, 'IdPSX': 3, 'IdSubscriber': 68306, 'StartSession': '10/20/2024 22:54:12', 'EndSession': '10/21/2024 04:40:05', 'Duration': 20753, 'UpTx': 605537738, 'DownTx': 564100350}
{'IdSession': 427389, 'IdPSX': 2, 'IdSubscriber': 68306, 'StartSession': '2024-05-15 11:39:30', 'EndSession': '2024-05-16 04:17:26', 'Duration': 59876, 'UpTx': 1852400059, 'DownTx': 3888639990}
{'IdSession': 935989, 'IdPSX': 2, 'IdSubscriber': 68306, 'StartSession': '2025-04-10 07:20:25', 'EndSession': '2025-04-11 06:30:42', 'Duration': 83417, 'UpTx': 7992313458, 'DownTx': 4978007991}
{'IdSession': 213640, 'IdPSX': 2, 'IdSubscriber': 14359, 'StartSession': '2025-02-23 10:06:04', 'EndSession': '2025-02-23 23:17:02', 'Duration': 47458, 'UpTx': 5842989879, 'DownTx': 2625753158}
{'IdSession': 539469, 'IdPSX': 2, 'IdSubscriber': 14359, 'StartSession': '2025-03-19 07:25:05', 'EndSession': '2025-03-19 12:37:36', 'Duration': 18751, 'UpTx': 4908596076, 'DownTx': 9502387309}
{'IdSession': 230357, 'IdPSX': 2, 'IdSubscriber': 14359, 'StartSession': '2024-07-05 05:00:13', 'EndSession': '2024-07-05 21:43:20', 'Duration': 60187, 'UpTx': 9714481623, 'DownTx': 5654383189}
{'IdSession': 452844, 'IdPSX': 3, 'IdSubscriber': 14359, 'StartSession': '01/24/2025 07:19:04', 'EndSession': '01/24/2025 20:43:38', 'Duration': 48274, 'UpTx': 799797693, 'DownTx': 472108009}
{'IdSession': 879552, 'IdPSX': 0, 'IdSubscriber': 14359, 'StartSession': '11/05/2024 09:39:34', 'EndSession': '', 'Duration': 19671, 'UpTx': 7482726753, 'DownTx': 3874621352}
{'IdSession': 965622, 'IdPSX': 3, 'IdSubscriber': 16861, 'StartSession': '10/17/2024 02:03:59', 'EndSession': '10/17/2024 16:23:17', 'Duration': 51558, 'UpTx': 96659238153, 'DownTx': 73720449745}
{'IdSession': 171160, 'IdPSX': 3, 'IdSubscriber': 16861, 'StartSession': '01/24/2025 06:49:11', 'EndSession': '', 'Duration': 11101, 'UpTx': 607459323, 'DownTx': 489756051}
{'IdSession': 908659, 'IdPSX': 2, 'IdSubscriber': 16861, 'StartSession': '2024-05-02 20:00:51', 'EndSession': '', 'Duration': 9184, 'UpTx': 6270407937, 'DownTx': 6078586974}
{'IdSession': 217375, 'IdPSX': 2, 'IdSubscriber': 16861, 'StartSession': '2024-05-08 22:54:56', 'EndSession': '2024-05-09 09:54:39', 'Duration': 39583, 'UpTx': 4042127420, 'DownTx': 6643204953}
{'IdSession': 585478, 'IdPSX': 1, 'IdSubscriber': 16861, 'StartSession': '31-10-2024 23:41:32', 'EndSession': '', 'Duration': 74178, 'UpTx': 361083851, 'DownTx': 959422101}
{'IdSession': 441142, 'IdPSX': 0, 'IdSubscriber': 5019, 'StartSession': '11/12/2024 05:58:58', 'EndSession': '11/12/2024 19:43:54', 'Duration': 49496, 'UpTx': 2302312329, 'DownTx': 5349065803}
{'IdSession': 894817, 'IdPSX': 2, 'IdSubscriber': 5019, 'StartSession': '2025-01-02 21:46:30', 'EndSession': '', 'Duration': 7325, 'UpTx': 5046624227, 'DownTx': 3151365810}
{'IdSession': 581932, 'IdPSX': 1, 'IdSubscriber': 5019, 'StartSession': '17-05-2024 05:08:31', 'EndSession': '17-05-2024 07:04:54', 'Duration': 6983, 'UpTx': 252697932, 'DownTx': 56603396}
{'IdSession': 983339, 'IdPSX': 2, 'IdSubscriber': 5019, 'StartSession': '2024-08-22 03:13:50', 'EndSession': '2024-08-22 14:12:09', 'Duration': 39499, 'UpTx': 2360623611, 'DownTx': 7655077031}
{'IdSession': 541798, 'IdPSX': 3, 'IdSubscriber': 5019, 'StartSession': '12/06/2024 17:55:46', 'EndSession': '12/07/2024 03:32:34', 'Duration': 34608, 'UpTx': 458546243, 'DownTx': 63729556}
{'IdSession': 357952, 'IdPSX': 3, 'IdSubscriber': 98260, 'StartSession': '02/26/2025 09:01:12', 'EndSession': '02/27/2025 08:53:10', 'Duration': 85918, 'UpTx': 831445544, 'DownTx': 436575181}
{'IdSession': 673490, 'IdPSX': 2, 'IdSubscriber': 98260, 'StartSession': '2025-02-23 15:52:25', 'EndSession': '2025-02-24 10:39:43', 'Duration': 67638, 'UpTx': 355419286, 'DownTx': 2956386334}
{'IdSession': 544358, 'IdPSX': 0, 'IdSubscriber': 98260, 'StartSession': '01/07/2024 21:56:38', 'EndSession': '02/07/2024 19:18:50', 'Duration': 76932, 'UpTx': 4758394309, 'DownTx': 5460792788}
{'IdSession': 331429, 'IdPSX': 3, 'IdSubscriber': 98260, 'StartSession': '04/02/2025 10:03:12', 'EndSession': '04/02/2025 23:53:19', 'Duration': 49807, 'UpTx': 68611921, 'DownTx': 160416899}
{'IdSession': 742969, 'IdPSX': 1, 'IdSubscriber': 98260, 'StartSession': '22-07-2024 09:16:57', 'EndSession': '22-07-2024 10:59:05', 'Duration': 6128, 'UpTx': 397962194, 'DownTx': 913741148}
{'IdSession': 4380, 'IdPSX': 2, 'IdSubscriber': 59312, 'StartSession': '2025-02-10 11:17:26', 'EndSession': '2025-02-10 13:44:04', 'Duration': 8798, 'UpTx': 3211480467, 'DownTx': 8170184761}
{'IdSession': 267747, 'IdPSX': 0, 'IdSubscriber': 59312, 'StartSession': '25/11/2024 11:03:08', 'EndSession': '26/11/2024 04:28:51', 'Duration': 62743, 'UpTx': 1639601864, 'DownTx': 5752048437}
{'IdSession': 825613, 'IdPSX': 1, 'IdSubscriber': 59312, 'StartSession': '20-07-2024 00:49:00', 'EndSession': '', 'Duration': 44750, 'UpTx': 66859102, 'DownTx': 350197886}
{'IdSession': 27946, 'IdPSX': 0, 'IdSubscriber': 59312, 'StartSession': '14/08/2024 19:51:35', 'EndSession': '15/08/2024 03:47:22', 'Duration': 28547, 'UpTx': 7217523418, 'DownTx': 1284453160}
{'IdSession': 832646, 'IdPSX': 1, 'IdSubscriber': 59312, 'StartSession': '17-03-2025 02:14:59', 'EndSession': '17-03-2025 23:29:16', 'Duration': 76457, 'UpTx': 355524243, 'DownTx': 679444420}
{'IdSession': 808496, 'IdPSX': 3, 'IdSubscriber': 84913, 'StartSession': '05/19/2024 04:17:36', 'EndSession': '', 'Duration': 74670, 'UpTx': 445831575, 'DownTx': 465901603}
{'IdSession': 156911, 'IdPSX': 2, 'IdSubscriber': 84913, 'StartSession': '2024-09-09 20:41:46', 'EndSession': '2024-09-10 04:51:16', 'Duration': 29370, 'UpTx': 6613208551, 'DownTx': 1447583946}
{'IdSession': 172475, 'IdPSX': 3, 'IdSubscriber': 84913, 'StartSession': '12/19/2024 06:40:44', 'EndSession': '12/20/2024 03:33:52', 'Duration': 75188, 'UpTx': 936805440, 'DownTx': 428034344}
{'IdSession': 872943, 'IdPSX': 0, 'IdSubscriber': 84913, 'StartSession': '03/10/2024 19:25:35', 'EndSession': '04/10/2024 16:26:36', 'Duration': 75661, 'UpTx': 8075600606, 'DownTx': 5824429405}
{'IdSession': 110901, 'IdPSX': 2, 'IdSubscriber': 84913, 'StartSession': '2024-11-20 08:25:57', 'EndSession': '2024-11-21 05:48:20', 'Duration': 76943, 'UpTx': 610461371, 'DownTx': 6196133067}
{'IdSession': 303570, 'IdPSX': 2, 'IdSubscriber': 95524, 'StartSession': '2024-09-12 16:25:24', 'EndSession': '2024-09-13 11:22:01', 'Duration': 68197, 'UpTx': 9006524545, 'DownTx': 2686036156}
{'IdSession': 462107, 'IdPSX': 1, 'IdSubscriber': 95524, 'StartSession': '12-11-2024 22:44:16', 'EndSession': '13-11-2024 03:18:34', 'Duration': 16458, 'UpTx': 733762603, 'DownTx': 622799134}
{'IdSession': 818581, 'IdPSX': 0, 'IdSubscriber': 95524, 'StartSession': '23/04/2024 17:20:20', 'EndSession': '24/04/2024 11:52:09', 'Duration': 66709, 'UpTx': 9350390899, 'DownTx': 9360872595}
{'IdSession': 423269, 'IdPSX': 1, 'IdSubscriber': 95524, 'StartSession': '21-11-2024 16:40:40', 'EndSession': '22-11-2024 04:02:14', 'Duration': 40894, 'UpTx': 666868809, 'DownTx': 754541498}
{'IdSession': 893224, 'IdPSX': 0, 'IdSubscriber': 95524, 'StartSession': '28/11/2024 12:42:43', 'EndSession': '', 'Duration': 75537, 'UpTx': 1879611314, 'DownTx': 2505620994}
{'IdSession': 58621, 'IdPSX': 1, 'IdSubscriber': 73912, 'StartSession': '01-02-2025 09:47:05', 'EndSession': '01-02-2025 16:35:18', 'Duration': 24493, 'UpTx': 55864928, 'DownTx': 891169071}
{'IdSession': 636977, 'IdPSX': 3, 'IdSubscriber': 73912, 'StartSession': '02/10/2025 13:46:23', 'EndSession': '', 'Duration': 70764, 'UpTx': 723913479, 'DownTx': 694597237}
{'IdSession': 823426, 'IdPSX': 1, 'IdSubscriber': 73912, 'StartSession': '17-02-2025 15:58:53', 'EndSession': '17-02-2025 19:41:57', 'Duration': 13384, 'UpTx': 918124727, 'DownTx': 287347908}
{'IdSession': 135420, 'IdPSX': 0, 'IdSubscriber': 73912, 'StartSession': '26/06/2024 16:10:52', 'EndSession': '27/06/2024 14:38:34', 'Duration': 80862, 'UpTx': 8912169839, 'DownTx': 3877470826}
{'IdSession': 314017, 'IdPSX': 2, 'IdSubscriber': 73912, 'StartSession': '2024-11-09 14:05:04', 'EndSession': '2024-11-10 12:28:46', 'Duration': 80622, 'UpTx': 5511904594, 'DownTx': 9596165280}
{'IdSession': 630730, 'IdPSX': 1, 'IdSubscriber': 73912, 'StartSession': '26-11-2024 19:54:09', 'EndSession': '27-11-2024 00:55:00', 'Duration': 18051, 'UpTx': 758221986, 'DownTx': 959775523}
{'IdSession': 719423, 'IdPSX': 0, 'IdSubscriber': 73912, 'StartSession': '25/01/2025 15:30:32', 'EndSession': '25/01/2025 19:05:14', 'Duration': 12882, 'UpTx': 4323764727, 'DownTx': 8921240791}
{'IdSession': 561857, 'IdPSX': 2, 'IdSubscriber': 73912, 'StartSession': '2024-11-23 05:37:00', 'EndSession': '2024-11-23 12:02:39', 'Duration': 23139, 'UpTx': 5479154328, 'DownTx': 3237096120}
{'IdSession': 521816, 'IdPSX': 2, 'IdSubscriber': 73912, 'StartSession': '2025-01-13 19:07:41', 'EndSession': '2025-01-14 07:16:39', 'Duration': 43738, 'UpTx': 9593062084, 'DownTx': 3122610788}
{'IdSession': 702378, 'IdPSX': 2, 'IdSubscriber': 73912, 'StartSession': '2025-02-01 16:16:49', 'EndSession': '', 'Duration': 50665, 'UpTx': 3442088299, 'DownTx': 7143463641}
{'IdSession': 383854, 'IdPSX': 3, 'IdSubscriber': 2748, 'StartSession': '09/18/2024 00:28:03', 'EndSession': '09/18/2024 12:32:59', 'Duration': 43496, 'UpTx': 316386364, 'DownTx': 430387351}
{'IdSession': 114090, 'IdPSX': 0, 'IdSubscriber': 2748, 'StartSession': '06/07/2024 00:39:10', 'EndSession': '06/07/2024 18:56:36', 'Duration': 65846, 'UpTx': 2971655229, 'DownTx': 8155164109}
{'IdSession': 390302, 'IdPSX': 0, 'IdSubscriber': 2748, 'StartSession': '05/01/2025 00:48:57', 'EndSession': '05/01/2025 17:39:35', 'Duration': 60638, 'UpTx': 5674587899, 'DownTx': 2410873210}
{'IdSession': 805919, 'IdPSX': 3, 'IdSubscriber': 2748, 'StartSession': '08/01/2024 17:10:27', 'EndSession': '08/02/2024 06:24:20', 'Duration': 47633, 'UpTx': 331347587, 'DownTx': 604203706}
{'IdSession': 985177, 'IdPSX': 0, 'IdSubscriber': 2748, 'StartSession': '25/12/2024 17:56:01', 'EndSession': '26/12/2024 14:03:47', 'Duration': 72466, 'UpTx': 7784902627, 'DownTx': 656158475}
{'IdSession': 777740, 'IdPSX': 1, 'IdSubscriber': 96433, 'StartSession': '10-01-2025 14:46:28', 'EndSession': '10-01-2025 20:56:09', 'Duration': 22181, 'UpTx': 98872978, 'DownTx': 647044587}
{'IdSession': 407737, 'IdPSX': 1, 'IdSubscriber': 96433, 'StartSession': '17-07-2024 12:16:47', 'EndSession': '17-07-2024 14:01:16', 'Duration': 6269, 'UpTx': 668239571, 'DownTx': 19401494}
{'IdSession': 571623, 'IdPSX': 2, 'IdSubscriber': 96433, 'StartSession': '2024-08-21 08:52:00', 'EndSession': '2024-08-22 02:05:32', 'Duration': 62012, 'UpTx': 2371604321, 'DownTx': 8790348904}
{'IdSession': 755934, 'IdPSX': 0, 'IdSubscriber': 96433, 'StartSession': '19/06/2024 23:46:39', 'EndSession': '20/06/2024 18:03:51', 'Duration': 65832, 'UpTx': 4783888537, 'DownTx': 2104377295}
{'IdSession': 626211, 'IdPSX': 1, 'IdSubscriber': 96433, 'StartSession': '19-04-2024 14:04:01', 'EndSession': '', 'Duration': 6693, 'UpTx': 591921478, 'DownTx': 878257910}
{'IdSession': 623797, 'IdPSX': 3, 'IdSubscriber': 74192, 'StartSession': '07/11/2024 18:02:19', 'EndSession': '07/12/2024 10:56:42', 'Duration': 60863, 'UpTx': 640628358, 'DownTx': 904546152}
{'IdSession': 288776, 'IdPSX': 3, 'IdSubscriber': 74192, 'StartSession': '07/27/2024 14:03:45', 'EndSession': '07/28/2024 09:40:55', 'Duration': 70630, 'UpTx': 697285102, 'DownTx': 835883725}
{'IdSession': 361085, 'IdPSX': 1, 'IdSubscriber': 74192, 'StartSession': '13-12-2024 18:11:10', 'EndSession': '14-12-2024 05:13:00', 'Duration': 39710, 'UpTx': 474990138, 'DownTx': 827723079}
{'IdSession': 366346, 'IdPSX': 0, 'IdSubscriber': 74192, 'StartSession': '13/12/2024 16:47:19', 'EndSession': '14/12/2024 02:43:29', 'Duration': 35770, 'UpTx': 9034546726, 'DownTx': 1025305545}
